param,method,method descriptor,class
f,shouldSkipField,(FieldAttributes;) ret boolean,ExclusionStrategy
clazz,shouldSkipClass,(java.lang.Class;) ret boolean,ExclusionStrategy
f,<init>$1,(java.lang.reflect.Field;),FieldAttributes
annotation,getAnnotation,(java.lang.Class;) ret T,FieldAttributes
modifier,hasModifier,(int;) ret boolean,FieldAttributes
name,separateCamelCase,(java.lang.String;char;) ret java.lang.String,FieldNamingPolicy
separator,separateCamelCase,(java.lang.String;char;) ret java.lang.String,FieldNamingPolicy
s,upperCaseFirstLetter,(java.lang.String;) ret java.lang.String,FieldNamingPolicy
f,translateName,(java.lang.reflect.Field;) ret java.lang.String,FieldNamingStrategy
excluder,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
fieldNamingStrategy,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
instanceCreators,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
serializeNulls,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
complexMapKeySerialization,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
generateNonExecutableGson,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
htmlSafe,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
prettyPrinting,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
lenient,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
serializeSpecialFloatingPointValues,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
useJdkUnsafe,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
longSerializationPolicy,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
datePattern,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
dateStyle,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
timeStyle,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
builderFactories,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
builderHierarchyFactories,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
factoriesToBeAdded,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
objectToNumberStrategy,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
numberToNumberStrategy,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
reflectionFilters,<init>$2,(com.google.gson.internal.Excluder;com.google.gson.FieldNamingStrategy;java.util.Map;boolean;boolean;boolean;boolean;boolean;boolean;boolean;boolean;LongSerializationPolicy;java.lang.String;int;int;java.util.List;java.util.List;java.util.List;ToNumberStrategy;ToNumberStrategy;java.util.List;),Gson
serializeSpecialFloatingPointValues,doubleAdapter,(boolean;) ret TypeAdapter,Gson
serializeSpecialFloatingPointValues,floatAdapter,(boolean;) ret TypeAdapter,Gson
value,checkValidFloatingPoint,(double;) ret void,Gson
longSerializationPolicy,longAdapter,(LongSerializationPolicy;) ret TypeAdapter,Gson
longAdapter,atomicLongAdapter,(TypeAdapter;) ret TypeAdapter,Gson
longAdapter,atomicLongArrayAdapter,(TypeAdapter;) ret TypeAdapter,Gson
type,getAdapter,(com.google.gson.reflect.TypeToken;) ret TypeAdapter,Gson
skipPast,getDelegateAdapter,(TypeAdapterFactory;com.google.gson.reflect.TypeToken;) ret TypeAdapter,Gson
type,getDelegateAdapter,(TypeAdapterFactory;com.google.gson.reflect.TypeToken;) ret TypeAdapter,Gson
type,getAdapter,(java.lang.Class;) ret TypeAdapter,Gson
src,toJsonTree,(java.lang.Object;) ret JsonElement,Gson
src,toJsonTree,(java.lang.Object;java.lang.reflect.Type;) ret JsonElement,Gson
typeOfSrc,toJsonTree,(java.lang.Object;java.lang.reflect.Type;) ret JsonElement,Gson
src,toJson,(java.lang.Object;) ret java.lang.String,Gson
src,toJson,(java.lang.Object;java.lang.reflect.Type;) ret java.lang.String,Gson
typeOfSrc,toJson,(java.lang.Object;java.lang.reflect.Type;) ret java.lang.String,Gson
src,toJson,(java.lang.Object;java.lang.Appendable;) ret void,Gson
writer,toJson,(java.lang.Object;java.lang.Appendable;) ret void,Gson
src,toJson,(java.lang.Object;java.lang.reflect.Type;java.lang.Appendable;) ret void,Gson
typeOfSrc,toJson,(java.lang.Object;java.lang.reflect.Type;java.lang.Appendable;) ret void,Gson
writer,toJson,(java.lang.Object;java.lang.reflect.Type;java.lang.Appendable;) ret void,Gson
src,toJson,(java.lang.Object;java.lang.reflect.Type;com.google.gson.stream.JsonWriter;) ret void,Gson
typeOfSrc,toJson,(java.lang.Object;java.lang.reflect.Type;com.google.gson.stream.JsonWriter;) ret void,Gson
writer,toJson,(java.lang.Object;java.lang.reflect.Type;com.google.gson.stream.JsonWriter;) ret void,Gson
jsonElement,toJson,(JsonElement;) ret java.lang.String,Gson
jsonElement,toJson,(JsonElement;java.lang.Appendable;) ret void,Gson
writer,toJson,(JsonElement;java.lang.Appendable;) ret void,Gson
writer,newJsonWriter,(java.io.Writer;) ret com.google.gson.stream.JsonWriter,Gson
reader,newJsonReader,(java.io.Reader;) ret com.google.gson.stream.JsonReader,Gson
jsonElement,toJson,(JsonElement;com.google.gson.stream.JsonWriter;) ret void,Gson
writer,toJson,(JsonElement;com.google.gson.stream.JsonWriter;) ret void,Gson
json,fromJson,(java.lang.String;java.lang.Class;) ret T,Gson
classOfT,fromJson,(java.lang.String;java.lang.Class;) ret T,Gson
json,fromJson,(java.lang.String;java.lang.reflect.Type;) ret T,Gson
typeOfT,fromJson,(java.lang.String;java.lang.reflect.Type;) ret T,Gson
json,fromJson,(java.lang.String;com.google.gson.reflect.TypeToken;) ret T,Gson
typeOfT,fromJson,(java.lang.String;com.google.gson.reflect.TypeToken;) ret T,Gson
json,fromJson,(java.io.Reader;java.lang.Class;) ret T,Gson
classOfT,fromJson,(java.io.Reader;java.lang.Class;) ret T,Gson
json,fromJson,(java.io.Reader;java.lang.reflect.Type;) ret T,Gson
typeOfT,fromJson,(java.io.Reader;java.lang.reflect.Type;) ret T,Gson
json,fromJson,(java.io.Reader;com.google.gson.reflect.TypeToken;) ret T,Gson
typeOfT,fromJson,(java.io.Reader;com.google.gson.reflect.TypeToken;) ret T,Gson
obj,assertFullConsumption,(java.lang.Object;com.google.gson.stream.JsonReader;) ret void,Gson
reader,assertFullConsumption,(java.lang.Object;com.google.gson.stream.JsonReader;) ret void,Gson
reader,fromJson,(com.google.gson.stream.JsonReader;java.lang.reflect.Type;) ret T,Gson
typeOfT,fromJson,(com.google.gson.stream.JsonReader;java.lang.reflect.Type;) ret T,Gson
reader,fromJson,(com.google.gson.stream.JsonReader;com.google.gson.reflect.TypeToken;) ret T,Gson
typeOfT,fromJson,(com.google.gson.stream.JsonReader;com.google.gson.reflect.TypeToken;) ret T,Gson
json,fromJson,(JsonElement;java.lang.Class;) ret T,Gson
classOfT,fromJson,(JsonElement;java.lang.Class;) ret T,Gson
json,fromJson,(JsonElement;java.lang.reflect.Type;) ret T,Gson
typeOfT,fromJson,(JsonElement;java.lang.reflect.Type;) ret T,Gson
json,fromJson,(JsonElement;com.google.gson.reflect.TypeToken;) ret T,Gson
typeOfT,fromJson,(JsonElement;com.google.gson.reflect.TypeToken;) ret T,Gson
gson,<init>$2,(com.google.gson.Gson;),GsonBuilder
version,setVersion,(double;) ret com.google.gson.GsonBuilder,GsonBuilder
modifiers,excludeFieldsWithModifiers,(int;) ret com.google.gson.GsonBuilder,GsonBuilder
serializationPolicy,setLongSerializationPolicy,(LongSerializationPolicy;) ret com.google.gson.GsonBuilder,GsonBuilder
namingConvention,setFieldNamingPolicy,(com.google.gson.FieldNamingPolicy;) ret com.google.gson.GsonBuilder,GsonBuilder
fieldNamingStrategy,setFieldNamingStrategy,(com.google.gson.FieldNamingStrategy;) ret com.google.gson.GsonBuilder,GsonBuilder
objectToNumberStrategy,setObjectToNumberStrategy,(ToNumberStrategy;) ret com.google.gson.GsonBuilder,GsonBuilder
numberToNumberStrategy,setNumberToNumberStrategy,(ToNumberStrategy;) ret com.google.gson.GsonBuilder,GsonBuilder
strategies,setExclusionStrategies,(com.google.gson.ExclusionStrategy;) ret com.google.gson.GsonBuilder,GsonBuilder
strategy,addSerializationExclusionStrategy,(com.google.gson.ExclusionStrategy;) ret com.google.gson.GsonBuilder,GsonBuilder
strategy,addDeserializationExclusionStrategy,(com.google.gson.ExclusionStrategy;) ret com.google.gson.GsonBuilder,GsonBuilder
pattern,setDateFormat,(java.lang.String;) ret com.google.gson.GsonBuilder,GsonBuilder
style,setDateFormat,(int;) ret com.google.gson.GsonBuilder,GsonBuilder
dateStyle,setDateFormat,(int;int;) ret com.google.gson.GsonBuilder,GsonBuilder
timeStyle,setDateFormat,(int;int;) ret com.google.gson.GsonBuilder,GsonBuilder
type,registerTypeAdapter,(java.lang.reflect.Type;java.lang.Object;) ret com.google.gson.GsonBuilder,GsonBuilder
typeAdapter,registerTypeAdapter,(java.lang.reflect.Type;java.lang.Object;) ret com.google.gson.GsonBuilder,GsonBuilder
factory,registerTypeAdapterFactory,(TypeAdapterFactory;) ret com.google.gson.GsonBuilder,GsonBuilder
baseType,registerTypeHierarchyAdapter,(java.lang.Class;java.lang.Object;) ret com.google.gson.GsonBuilder,GsonBuilder
typeAdapter,registerTypeHierarchyAdapter,(java.lang.Class;java.lang.Object;) ret com.google.gson.GsonBuilder,GsonBuilder
filter,addReflectionAccessFilter,(ReflectionAccessFilter;) ret com.google.gson.GsonBuilder,GsonBuilder
datePattern,addTypeAdaptersForDate,(java.lang.String;int;int;java.util.List;) ret void,GsonBuilder
dateStyle,addTypeAdaptersForDate,(java.lang.String;int;int;java.util.List;) ret void,GsonBuilder
timeStyle,addTypeAdaptersForDate,(java.lang.String;int;int;java.util.List;) ret void,GsonBuilder
factories,addTypeAdaptersForDate,(java.lang.String;int;int;java.util.List;) ret void,GsonBuilder
type,createInstance,(java.lang.reflect.Type;) ret T,InstanceCreator
context,<init>$1,(com.google.gson.Gson;com.google.gson.TypeAdapter;java.lang.Class;),ArrayTypeAdapter
componentTypeAdapter,<init>$1,(com.google.gson.Gson;com.google.gson.TypeAdapter;java.lang.Class;),ArrayTypeAdapter
componentType,<init>$1,(com.google.gson.Gson;com.google.gson.TypeAdapter;java.lang.Class;),ArrayTypeAdapter
in,read,(com.google.gson.stream.JsonReader;) ret java.lang.Object,ArrayTypeAdapter
out,write,(com.google.gson.stream.JsonWriter;java.lang.Object;) ret void,ArrayTypeAdapter
array,write,(com.google.gson.stream.JsonWriter;java.lang.Object;) ret void,ArrayTypeAdapter
constructorConstructor,<init>$1,(com.google.gson.internal.ConstructorConstructor;),CollectionTypeAdapterFactory
gson,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,CollectionTypeAdapterFactory
typeToken,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,CollectionTypeAdapterFactory
in,read,(com.google.gson.stream.JsonReader;) ret java.util.Date,DateTypeAdapter
in,deserializeToDate,(com.google.gson.stream.JsonReader;) ret java.util.Date,DateTypeAdapter
out,write,(com.google.gson.stream.JsonWriter;java.util.Date;) ret void,DateTypeAdapter
value,write,(com.google.gson.stream.JsonWriter;java.util.Date;) ret void,DateTypeAdapter
dateType,<init>$1,(com.google.gson.internal.bind.DefaultDateTypeAdapter.DateType;java.lang.String;),DefaultDateTypeAdapter
datePattern,<init>$1,(com.google.gson.internal.bind.DefaultDateTypeAdapter.DateType;java.lang.String;),DefaultDateTypeAdapter
dateType,<init>$2,(com.google.gson.internal.bind.DefaultDateTypeAdapter.DateType;int;),DefaultDateTypeAdapter
style,<init>$2,(com.google.gson.internal.bind.DefaultDateTypeAdapter.DateType;int;),DefaultDateTypeAdapter
dateType,<init>$3,(com.google.gson.internal.bind.DefaultDateTypeAdapter.DateType;int;int;),DefaultDateTypeAdapter
dateStyle,<init>$3,(com.google.gson.internal.bind.DefaultDateTypeAdapter.DateType;int;int;),DefaultDateTypeAdapter
timeStyle,<init>$3,(com.google.gson.internal.bind.DefaultDateTypeAdapter.DateType;int;int;),DefaultDateTypeAdapter
out,write,(com.google.gson.stream.JsonWriter;java.util.Date;) ret void,DefaultDateTypeAdapter
value,write,(com.google.gson.stream.JsonWriter;java.util.Date;) ret void,DefaultDateTypeAdapter
in,read,(com.google.gson.stream.JsonReader;) ret T,DefaultDateTypeAdapter
in,deserializeToDate,(com.google.gson.stream.JsonReader;) ret java.util.Date,DefaultDateTypeAdapter
constructorConstructor,<init>$1,(com.google.gson.internal.ConstructorConstructor;),JsonAdapterAnnotationTypeAdapterFactory
gson,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,JsonAdapterAnnotationTypeAdapterFactory
targetType,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,JsonAdapterAnnotationTypeAdapterFactory
constructorConstructor,getTypeAdapter,(com.google.gson.internal.ConstructorConstructor;com.google.gson.Gson;com.google.gson.reflect.TypeToken;com.google.gson.annotations.JsonAdapter;) ret com.google.gson.TypeAdapter,JsonAdapterAnnotationTypeAdapterFactory
gson,getTypeAdapter,(com.google.gson.internal.ConstructorConstructor;com.google.gson.Gson;com.google.gson.reflect.TypeToken;com.google.gson.annotations.JsonAdapter;) ret com.google.gson.TypeAdapter,JsonAdapterAnnotationTypeAdapterFactory
type,getTypeAdapter,(com.google.gson.internal.ConstructorConstructor;com.google.gson.Gson;com.google.gson.reflect.TypeToken;com.google.gson.annotations.JsonAdapter;) ret com.google.gson.TypeAdapter,JsonAdapterAnnotationTypeAdapterFactory
annotation,getTypeAdapter,(com.google.gson.internal.ConstructorConstructor;com.google.gson.Gson;com.google.gson.reflect.TypeToken;com.google.gson.annotations.JsonAdapter;) ret com.google.gson.TypeAdapter,JsonAdapterAnnotationTypeAdapterFactory
element,<init>$1,(com.google.gson.JsonElement;),JsonTreeReader
expected,expect,(com.google.gson.stream.JsonToken;) ret void,JsonTreeReader
skipName,nextName,(boolean;) ret java.lang.String,JsonTreeReader
newTop,push,(java.lang.Object;) ret void,JsonTreeReader
usePreviousPath,getPath,(boolean;) ret java.lang.String,JsonTreeReader
value,put,(com.google.gson.JsonElement;) ret void,JsonTreeWriter
name,name,(java.lang.String;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,value,(java.lang.String;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,jsonValue,(java.lang.String;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,value,(boolean;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,value,(java.lang.Boolean;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,value,(float;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,value,(double;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,value,(long;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
value,value,(java.lang.Number;) ret com.google.gson.stream.JsonWriter,JsonTreeWriter
constructorConstructor,<init>$1,(com.google.gson.internal.ConstructorConstructor;boolean;),MapTypeAdapterFactory
complexMapKeySerialization,<init>$1,(com.google.gson.internal.ConstructorConstructor;boolean;),MapTypeAdapterFactory
gson,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,MapTypeAdapterFactory
typeToken,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,MapTypeAdapterFactory
context,getKeyAdapter,(com.google.gson.Gson;java.lang.reflect.Type;) ret com.google.gson.TypeAdapter,MapTypeAdapterFactory
keyType,getKeyAdapter,(com.google.gson.Gson;java.lang.reflect.Type;) ret com.google.gson.TypeAdapter,MapTypeAdapterFactory
toNumberStrategy,<init>$1,(com.google.gson.ToNumberStrategy;),NumberTypeAdapter
toNumberStrategy,newFactory,(com.google.gson.ToNumberStrategy;) ret com.google.gson.TypeAdapterFactory,NumberTypeAdapter
